yr,temp,weathersit,atemp,hum,windspeed,cnt,cnt_scaled,pred,res,A1,A2,A3,A4,A5,A6,A7,A8
0,0.344167,2,0.363625,0.805833,0.160446,985,-1.816708668673455,-1.11832857131958,-0.698380097353875,0.9485072493553162,0.691640317440033,1.2326561212539673,0.9555041790008545,0,0,0,1.6802070140838623
0,0.363478,2,0.353739,0.696087,0.248539,801,-1.9116905560901571,-1.0643997192382812,-0.8472908368518759,0.7957552671432495,0.0579720214009285,0.786281406879425,1.0634154081344604,0,0,0,1.1362406015396118
0,0.196364,1,0.189405,0.437273,0.248309,1349,-1.6288097174795442,-1.5401111841201782,-0.08869853335936595,0,0,0,2.4831554889678955,0,0,0,0
0,0.2,1,0.212122,0.590435,0.160296,1562,-1.518857858676514,-1.4284820556640625,-0.09037580301245152,0,0.2041119784116745,0,2.22818660736084,0,0,0,0.16500268876552582
0,0.226957,1,0.22927,0.436957,0.1869,1600,-1.4992420341013255,-1.343201756477356,-0.15604027762396955,0,0,0,2.2158851623535156,0,0,0,0
0,0.204348,1,0.233209,0.518261,0.0895652,1606,-1.496144798642085,-1.2447227239608765,-0.2514220746812086,0,0.20823843777179718,0.10782259702682495,2.136127233505249,0,0,0,0.03079932928085327
0,0.196522,2,0.208839,0.498696,0.168726,1510,-1.5457005659899297,-1.556901454925537,0.011200888935607445,0,0,0.7440584897994995,2.0192997455596924,0,0,0,1.1075738668441772
0,0.165,2,0.162254,0.535833,0.266804,959,-1.8301300223301629,-1.9272123575210571,0.09708233519089426,0,0,0.45390743017196655,2.3234870433807373,0,0,0,1.178784728050232
0,0.138333,1,0.116175,0.434167,0.36195,822,-1.9008502319828162,-1.9104586839675903,0.009608451984774113,0,0,0,2.9858381748199463,0,0,0,0
0,0.150833,1,0.150888,0.482917,0.223267,1321,-1.6432634829559989,-1.6820427179336548,0.038779234977655896,0,0,0,2.6758029460906982,0,0,0,0
0,0.169091,2,0.191464,0.686364,0.122132,1263,-1.673203425728655,-1.7289198637008667,0.05571643797221171,0,0.6407423615455627,1.2042310237884521,1.9865789413452148,0,0,0,1.844612717628479
0,0.172727,1,0.160473,0.599545,0.304627,1162,-1.7253402226258665,-1.6633219718933105,-0.06201825073255596,0,0,0,2.596987724304199,0,0,0,0.0692114382982254
0,0.165,1,0.150883,0.470417,0.301,1406,-1.5993859806167614,-1.714835286140442,0.11544930552368049,0,0,0,2.72031307220459,0,0,0,0
0,0.16087,1,0.188413,0.537826,0.126548,1421,-1.5916428919686607,-1.5788229703903198,-0.012819921578340887,0,0.17017963528633118,0,2.424093008041382,0,0,0,0.17042948305606842
0,0.233333,2,0.248112,0.49875,0.157963,1248,-1.6809465143767557,-1.3262284994125366,-0.35471801496421906,0,0,0.7771109342575073,1.7900638580322266,0,0,0,1.020074725151062
0,0.231667,1,0.234217,0.48375,0.188433,1204,-1.7036595744111844,-1.3027704954147339,-0.40088907899645054,0,0,0,2.1610066890716553,0,0,0,0
0,0.175833,2,0.176771,0.5375,0.194017,1000,-1.8089655800253543,-1.7398039102554321,-0.06916166976992222,0,0,0.7391790747642517,2.1609723567962646,0,0,0,1.242578387260437
0,0.216667,2,0.232333,0.861667,0.146775,683,-1.9726028534552162,-1.8190208673477173,-0.15358198610749896,0.8658927083015442,1.0629671812057495,1.3995449542999268,1.6423059701919556,0,0,0,2.2253408432006836
0,0.292174,2,0.298422,0.741739,0.208317,1650,-1.4734317386076563,-1.4028505086898804,-0.07058122991777593,0.6989017128944397,0.38980525732040405,0.9806628227233887,1.3739053010940552,0,0,0,1.5502899885177612
0,0.261667,2,0.25505,0.538333,0.195904,1927,-1.3304427015727296,-1.2371093034744263,-0.09333339809830332,0,0,0.747662365436554,1.6773666143417358,0,0,0,0.9904868602752686
0,0.1775,1,0.157833,0.457083,0.353242,1543,-1.5286657709641083,-1.7229119539260864,0.19424618296197815,0,0,0,2.731276035308838,0,0,0,0
0,0.0591304,1,0.0790696,0.4,0.17197,981,-1.8187734923129486,-2.0428762435913086,0.22410275127836,0,0,0,3.165572166442871,0,0,0,0
0,0.0965217,1,0.0988391,0.436522,0.2466,986,-1.8161924627635817,-1.954473853111267,0.13828139034768538,0,0,0,3.0455808639526367,0,0,0,0
0,0.0973913,1,0.11793,0.491739,0.15833,1416,-1.5942239215180276,-1.9135998487472534,0.3193759272292258,0,0,0,2.8688743114471436,0,0,0,0.15710680186748505
0,0.223478,2,0.234526,0.616957,0.129796,1985,-1.3005027588000735,-1.3864604234695435,0.08595766466946997,0,0.3685411810874939,1.0913995504379272,1.7405567169189453,0,0,0,1.4474765062332153
0,0.2175,3,0.2036,0.8625,0.29385,506,-2.063971299502805,-2.4942965507507324,0.43032525124792764,1.8374546766281128,0.5411039590835571,1.8313729763031006,1.5668938159942627,0,0,0,3.24509334564209
0,0.195,1,0.2197,0.6875,0.113837,431,-2.1026867427433085,-1.4254432916641235,-0.6772434510791849,0,0.6640200614929199,0.2924816906452179,2.120210647583008,0,0,0,0.5567508339881897
0,0.203478,2,0.223317,0.793043,0.1233,1167,-1.7227591930764996,-1.703412652015686,-0.01934654106081357,0.4465351700782776,0.9429849982261658,1.3739629983901978,1.725890874862671,0,0,0,2.0791454315185547
0,0.196522,1,0.212126,0.651739,0.145365,1098,-1.7583774008577628,-1.4551970958709717,-0.30318030498679116,0,0.4499630928039551,0.13479197025299072,2.186025857925415,0,0,0,0.3902859091758728
0,0.216522,1,0.250322,0.722174,0.0739826,1096,-1.7594098126775097,-1.2455487251281738,-0.5138610875493359,0,0.8843111395835876,0.480068176984787,1.9114221334457397,0,0,0,0.6645056009292603
0,0.180833,2,0.18625,0.60375,0.187192,1501,-1.5503464191787901,-1.7391070127487183,0.18876059356992814,0,0.1573786437511444,0.8586243987083435,2.07612681388855,0,0,0,1.4517165422439575
0,0.192174,2,0.23453,0.829565,0.053213,1360,-1.623131452470937,-1.638103723526001,0.014972271055063935,0.3475550413131714,1.2855064868927002,1.6499146223068237,1.6494474411010742,0,0,0,2.3393290042877197
0,0.26,2,0.254417,0.775417,0.264308,1526,-1.5374412714319556,-1.7790132761001587,0.24157200466820306,0.9635317921638489,0.33830830454826355,0.8457583785057068,1.6254194974899292,0,0,0,1.665506362915039
0,0.186957,1,0.177878,0.437826,0.277752,1550,-1.5250523295949945,-1.6098865270614624,0.08483419746646792,0,0,0,2.5778634548187256,0,0,0,0
0,0.211304,2,0.228587,0.585217,0.127839,1708,-1.4434917958350002,-1.4446173906326294,0.0011255947976291925,0,0.27150958776474,1.0313137769699097,1.8204983472824097,0,0,0,1.3929593563079834
0,0.233333,2,0.243058,0.929167,0.161079,1005,-1.8063845504759874,-1.8857365846633911,0.07935203418740366,1.2602219581604004,1.2175112962722778,1.4653832912445068,1.5296496152877808,0,0,0,2.3661880493164062
0,0.285833,1,0.291671,0.568333,0.1418,1623,-1.4873692981742377,-0.9604167938232422,-0.5269525043509955,0,0.13847309350967407,0.03735317289829254,1.7309869527816772,0,0,0,0
0,0.271667,1,0.303658,0.738333,0.0454083,1712,-1.4414269721955066,-0.8746113777160645,-0.5668155944794422,0,0.9978469014167786,0.6219010353088379,1.5484905242919922,0,0,0,0.590467095375061
0,0.220833,1,0.198246,0.537917,0.36195,1530,-1.535376447792462,-1.5123918056488037,-0.022984642143658363,0,0,0,2.4455313682556152,0,0,0,0
0,0.134783,2,0.144283,0.494783,0.188839,1605,-1.4966610045519586,-1.9458991289138794,0.4492381243619208,0,0,0.6702956557273865,2.4072396755218506,0,0,0,1.2418063879013062
0,0.144348,1,0.149548,0.437391,0.221935,1538,-1.5312468005134752,-1.7247482538223267,0.1935014533088515,0,0,0,2.7337682247161865,0,0,0,0
0,0.189091,1,0.213509,0.506364,0.10855,1746,-1.4238759712598117,-1.3611505031585693,-0.06272546810124235,0,0.12324349582195282,0.026593685150146484,2.2616639137268066,0,0,0,0.007966771721839905
0,0.2225,1,0.232954,0.544167,0.203367,1472,-1.5653163905651182,-1.3208446502685547,-0.2444717402965635,0,0,0,2.1855392456054688,0,0,0,0
